"intratherm_id","genus_species","genus","species","phylum","class","order","family","extractor","ref","original_compilation","population_id","acclim_temp","latitude","longitude","coordinates_source","genus_from_study","species_from_study","location_description","acclim_time","parameter_value","parameter_tmax_or_tmin","error_estimate","error_type","sample_size","metric_type","metric_description","ramping_rate","ramping_to_reach_st","duration_of_chronic_exposure","temp_before_pretreament_held_or_ff_for_field_fresh","timing_of_collection","elevation_of_collection","life_stage.x","notes.x","record_number","record","realm_general2","acclim_time_original","acclim_time_units","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering","age_maturity_days_female","age_maturity_days_female_reference","age_maturity_days_male","age_maturity_days_male_reference","age_maturity.days_unknown_sex","dispersal_distance_category","logic_source_for_dispersal_distance","logic_source_for_dispersal_distance2","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","average_body_size_female","average_body_size_female_reference","average_body_size_male","average_body_size_male_reference","average_body_size_unknown_sex","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km","season_when_away_100km","logic_source_season_when_away","data_gatherer","Home.range.size_Km2","logic.source_for_Home.range.size","lifespan_days","lifespan_days_reference","Notes","is.nocturnal","is.nocturnal_source","is_in_south","season_when_away_100km_start","season_when_away_100km_stop","season_inactive_start","season_inactive_stop","season_inactive_start2","season_inactive_stop2","experienced_var_mean","experienced_var_max","sd_cumulative","ARR","std.error","statistic","p.value","conf.low","conf.high"
307,"Atractosteus spatula","Atractosteus","spatula","Chordata","Holostei","Lepisosteiformes","Lepisosteidae","Nikki","Fernando_et_al_2016","intratherm_team","Atractosteus spatula_31.35786_-91.41895",25,31.35786,-91.41895,"","Atractosteus","spatula","St. Catherine's Bayou, Mississippi, United States",21,39.66,"tmax",0.4615192,"SD",5,"critical","upper_critical_limit","0.27 - 0.37",NA,NA,"held",NA,NA,"Adult",NA,NA,NA,"Freshwater",NA,NA,NA,"4015","11 years (https://animaldiversity.org/accounts/Atractosteus_spatula/)","2190","6 years (https://animaldiversity.org/accounts/Atractosteus_spatula/)",NA,"10-100","inferred based on home range (https://www.researchgate.net/profile/David_Buckmeier/publication/251279407_Life_History_and_Status_of_Alligator_Gar_Atractosteus_spatula_with_Recommendations_for_Management/links/555c9c5308ae6f4dcc8bc90e/Life-History-and-Status-of-Alligator-Gar-Atractosteus-spatula-with-Recommendations-for-Management.pdf)",NA,300,"3 m (https://animaldiversity.org/accounts/Atractosteus_spatula/)",NA,NA,NA,NA,NA,"none","none reported in life history","non-migratory","no consistent migrational trend (https://doi.org/10.1080/00028487.2013.797494)",NA,NA,NA,"Nikki","22.9-475.29","2.7-12.3 km+ used as diameter (https://www.researchgate.net/profile/David_Buckmeier/publication/251279407_Life_History_and_Status_of_Alligator_Gar_Atractosteus_spatula_with_Recommendations_for_Management/links/555c9c5308ae6f4dcc8bc90e/Life-History-and-Status-of-Alligator-Gar-Atractosteus-spatula-with-Recommendations-for-Management.pdf)",18250,"50 years (https://animaldiversity.org/accounts/Atractosteus_spatula/)",NA,NA,NA,"N",NA,NA,NA,NA,"","",7.58918025113406,7.73178029817127,7.56498694158017,0.441999999999997,0.0866025403784457,5.10377637963615,0.123174644001058,-0.65838960872137,1.54238960872136
310,"Atractosteus spatula","Atractosteus","spatula","Chordata","Holostei","Lepisosteiformes","Lepisosteidae","Nikki","Fernando_et_al_2016","intratherm_team","Atractosteus spatula_35.10124_-92.76766",25,35.10124,-92.76766,"","Atractosteus","spatula","Fourche la Fave River, Arkansas, United States",21,39.8,"tmax",0.2645751,"SD",5,"critical","upper_critical_limit","0.27 - 0.31",NA,NA,"held",NA,NA,"Adult",NA,NA,NA,"Freshwater",NA,NA,NA,"4015","11 years (https://animaldiversity.org/accounts/Atractosteus_spatula/)","2190","6 years (https://animaldiversity.org/accounts/Atractosteus_spatula/)",NA,"10-100","inferred based on home range (https://www.researchgate.net/profile/David_Buckmeier/publication/251279407_Life_History_and_Status_of_Alligator_Gar_Atractosteus_spatula_with_Recommendations_for_Management/links/555c9c5308ae6f4dcc8bc90e/Life-History-and-Status-of-Alligator-Gar-Atractosteus-spatula-with-Recommendations-for-Management.pdf)",NA,300,"3 m (https://animaldiversity.org/accounts/Atractosteus_spatula/)",NA,NA,NA,NA,NA,"none","none reported in life history","non-migratory","no consistent migrational trend (https://doi.org/10.1080/00028487.2013.797494)",NA,NA,NA,"Nikki","22.9-475.29","2.7-12.3 km+ used as diameter (https://www.researchgate.net/profile/David_Buckmeier/publication/251279407_Life_History_and_Status_of_Alligator_Gar_Atractosteus_spatula_with_Recommendations_for_Management/links/555c9c5308ae6f4dcc8bc90e/Life-History-and-Status-of-Alligator-Gar-Atractosteus-spatula-with-Recommendations-for-Management.pdf)",18250,"50 years (https://animaldiversity.org/accounts/Atractosteus_spatula/)",NA,NA,NA,"N",NA,NA,NA,NA,"","",9.41554345885958,9.52677668980506,9.39299074263666,0.412,0.0692820323027557,5.94670777265309,0.106061848909105,-0.468311686977083,1.29231168697708
2907,"Tigriopus californicus","Tigriopus","californicus","Arthropoda","Maxillopoda","Harpacticoida","Harpacticidae","Nikki","Pereira_et_al_2017","intratherm_team","Tigriopus californicus_27.179937_-114.397685",20,27.179937,-114.397685,"","Tigriopus","californicus","San Roque, Baja California South, Mexico",28,37.638,"tmax",0.11808,"SE",NA,"lethal","50percent_survival",NA,NA,"1h","held",NA,NA,"Adult",NA,NA,NA,"Marine",NA,NA,NA,"20","20 days (https://scholarsbank.uoregon.edu/xmlui/bitstream/handle/1794/8950/Vittor.pdf;sequence=1)","unk",NA,NA,"unk",NA,NA,0.14,"1400 microm (https://www.jstor.org/stable/20105864)",NA,NA,NA,NA,NA,"none","none mentioned in life history","non-migratory","intertidal",NA,NA,NA,"Nikki","unk",NA,NA,"130 days average",NA,NA,NA,"N",NA,NA,NA,NA,"","",NA,NA,NA,0.1269,0.19660429802016,0.645458930846908,0.584792986957159,-0.71902001955692,0.972820019556919
2911,"Tigriopus californicus","Tigriopus","californicus","Arthropoda","Maxillopoda","Harpacticoida","Harpacticidae","Nikki","Pereira_et_al_2017","intratherm_team","Tigriopus californicus_31.723725_-116.721815",20,31.723725,-116.721815,"","Tigriopus","californicus","Bufadora, Baja California, Mexico",28,36.663,"tmax",0.1067,"SE",NA,"lethal","50percent_survival",NA,NA,"1h","held",NA,NA,"Adult",NA,NA,NA,"Marine",NA,NA,NA,"20","20 days (https://scholarsbank.uoregon.edu/xmlui/bitstream/handle/1794/8950/Vittor.pdf;sequence=1)","unk",NA,NA,"unk",NA,NA,0.14,"1400 microm (https://www.jstor.org/stable/20105864)",NA,NA,NA,NA,NA,"none","none mentioned in life history","non-migratory","intertidal",NA,NA,NA,"Nikki","unk",NA,NA,"130 days average",NA,NA,NA,"N",NA,NA,NA,NA,"","",NA,NA,NA,0.0335000000000017,0.165564277548028,0.202338333462566,0.858367485776736,-0.678865590741018,0.745865590741021
2915,"Tigriopus californicus","Tigriopus","californicus","Arthropoda","Maxillopoda","Harpacticoida","Harpacticidae","Nikki","Pereira_et_al_2017","intratherm_team","Tigriopus californicus_32.744828_-117.255264",20,32.744828,-117.255264,"","Tigriopus","californicus","San Diego,  California, United States",28,36.415,"tmax",0.091213,"SE",NA,"lethal","50percent_survival",NA,NA,"1h","held",NA,NA,"Adult",NA,NA,NA,"Marine",NA,NA,NA,"20","20 days (https://scholarsbank.uoregon.edu/xmlui/bitstream/handle/1794/8950/Vittor.pdf;sequence=1)","unk",NA,NA,"unk",NA,NA,0.14,"1400 microm (https://www.jstor.org/stable/20105864)",NA,NA,NA,NA,NA,"none","none mentioned in life history","non-migratory","intertidal",NA,NA,NA,"Nikki","unk",NA,NA,"130 days average",NA,NA,NA,"N",NA,NA,NA,NA,"","",NA,NA,NA,0.224999999999999,0.163567295019511,1.37558061330757,0.302752053918952,-0.478773268413437,0.928773268413435
2919,"Tigriopus californicus","Tigriopus","californicus","Arthropoda","Maxillopoda","Harpacticoida","Harpacticidae","Nikki","Pereira_et_al_2017","intratherm_team","Tigriopus californicus_32.814202_-117.273379",20,32.814202,-117.273379,"","Tigriopus","californicus","Bird Rock, California, United States",28,36.75,"tmax",0.11381,"SE",NA,"lethal","50percent_survival",NA,NA,"1h","held",NA,NA,"Adult",NA,NA,NA,"Marine",NA,NA,NA,"20","20 days (https://scholarsbank.uoregon.edu/xmlui/bitstream/handle/1794/8950/Vittor.pdf;sequence=1)","unk",NA,NA,"unk",NA,NA,0.14,"1400 microm (https://www.jstor.org/stable/20105864)",NA,NA,NA,NA,NA,"none","none mentioned in life history","non-migratory","intertidal",NA,NA,NA,"Nikki","unk",NA,NA,"130 days average",NA,NA,NA,"N",NA,NA,NA,NA,"","",NA,NA,NA,0.2456,0.221870592913977,1.10695156475839,0.383631056349956,-0.709032112252455,1.20023211225246
2923,"Tigriopus californicus","Tigriopus","californicus","Arthropoda","Maxillopoda","Harpacticoida","Harpacticidae","Nikki","Pereira_et_al_2017","intratherm_team","Tigriopus californicus_33.736857_-118.373817",20,33.736857,-118.373817,"","Tigriopus","californicus","Abalone Cove, California, United States",28,35.727,"tmax",0.088594,"SE",NA,"lethal","50percent_survival",NA,NA,"1h","held",NA,NA,"Adult",NA,NA,NA,"Marine",NA,NA,NA,"20","20 days (https://scholarsbank.uoregon.edu/xmlui/bitstream/handle/1794/8950/Vittor.pdf;sequence=1)","unk",NA,NA,"unk",NA,NA,0.14,"1400 microm (https://www.jstor.org/stable/20105864)",NA,NA,NA,NA,NA,"none","none mentioned in life history","non-migratory","intertidal",NA,NA,NA,"Nikki","unk",NA,NA,"130 days average",NA,NA,NA,"N",NA,NA,NA,NA,"","",NA,NA,NA,0.236400000000001,0.139509211165428,1.69451176753971,0.232251414943539,-0.363859688246124,0.836659688246126
2927,"Tigriopus californicus","Tigriopus","californicus","Arthropoda","Maxillopoda","Harpacticoida","Harpacticidae","Nikki","Pereira_et_al_2017","intratherm_team","Tigriopus californicus_36.949533_-122.046358",20,36.949533,-122.046358,"","Tigriopus","californicus","Santa Cruz, California, United States",28,34.696,"tmax",0.10102,"SE",NA,"lethal","50percent_survival",NA,NA,"1h","held",NA,NA,"Adult",NA,NA,NA,"Marine",NA,NA,NA,"20","20 days (https://scholarsbank.uoregon.edu/xmlui/bitstream/handle/1794/8950/Vittor.pdf;sequence=1)","unk",NA,NA,"unk",NA,NA,0.14,"1400 microm (https://www.jstor.org/stable/20105864)",NA,NA,NA,NA,NA,"none","none mentioned in life history","non-migratory","intertidal",NA,NA,NA,"Nikki","unk",NA,NA,"130 days average",NA,NA,NA,"N",NA,NA,NA,NA,"","",NA,NA,NA,0.194399999999999,0.167428551925888,1.16109228541886,0.365450889090408,-0.525986915981922,0.914786915981921
2931,"Tigriopus californicus","Tigriopus","californicus","Arthropoda","Maxillopoda","Harpacticoida","Harpacticidae","Nikki","Pereira_et_al_2017","intratherm_team","Tigriopus californicus_37.259631_-122.414116",20,37.259631,-122.414116,"","Tigriopus","californicus","Pescadero, California, United States",28,35.043,"tmax",0.10541,"SE",NA,"lethal","50percent_survival",NA,NA,"1h","held",NA,NA,"Adult",NA,NA,NA,"Marine",NA,NA,NA,"20","20 days (https://scholarsbank.uoregon.edu/xmlui/bitstream/handle/1794/8950/Vittor.pdf;sequence=1)","unk",NA,NA,"unk",NA,NA,0.14,"1400 microm (https://www.jstor.org/stable/20105864)",NA,NA,NA,NA,NA,"none","none mentioned in life history","non-migratory","intertidal",NA,NA,NA,"Nikki","unk",NA,NA,"130 days average",NA,NA,NA,"N",NA,NA,NA,NA,"","",NA,NA,NA,0.2736,0.15801379686597,1.7314943721786,0.225502897733007,-0.406278494423444,0.953478494423444
2935,"Tigriopus californicus","Tigriopus","californicus","Arthropoda","Maxillopoda","Harpacticoida","Harpacticidae","Nikki","Pereira_et_al_2017","intratherm_team","Tigriopus californicus_42.2_-124.36",20,42.2,-124.36,"","Tigriopus","californicus","Boardman Park, Oregon, United States",28,35.066,"tmax",0.137,"SE",NA,"lethal","50percent_survival",NA,NA,"1h","held",NA,NA,"Adult",NA,NA,NA,"Marine",NA,NA,NA,"20","20 days (https://scholarsbank.uoregon.edu/xmlui/bitstream/handle/1794/8950/Vittor.pdf;sequence=1)","unk",NA,NA,"unk",NA,NA,0.14,"1400 microm (https://www.jstor.org/stable/20105864)",NA,NA,NA,NA,NA,"none","none mentioned in life history","non-migratory","intertidal",NA,NA,NA,"Nikki","unk",NA,NA,"130 days average",NA,NA,NA,"N",NA,NA,NA,NA,"","",NA,NA,NA,0.142200000000001,0.296234771760508,0.4800246748716,0.678582234404006,-1.13239534936206,1.41679534936206
2939,"Tigriopus californicus","Tigriopus","californicus","Arthropoda","Maxillopoda","Harpacticoida","Harpacticidae","Nikki","Pereira_et_al_2017","intratherm_team","Tigriopus californicus_44.03_-124.13",20,44.03,-124.13,"","Tigriopus","californicus","Heceta, Oregon, United States",28,34.622,"tmax",0.067776,"SE",NA,"lethal","50percent_survival",NA,NA,"1h","held",NA,NA,"Adult",NA,NA,NA,"Marine",NA,NA,NA,"20","20 days (https://scholarsbank.uoregon.edu/xmlui/bitstream/handle/1794/8950/Vittor.pdf;sequence=1)","unk",NA,NA,"unk",NA,NA,0.14,"1400 microm (https://www.jstor.org/stable/20105864)",NA,NA,NA,NA,NA,"none","none mentioned in life history","non-migratory","intertidal",NA,NA,NA,"Nikki","unk",NA,NA,"130 days average",NA,NA,NA,"N",NA,NA,NA,NA,"","",NA,NA,NA,0.2177,0.270307177115222,0.80538002106841,0.505131702283403,-0.94533791348568,1.38073791348568
2943,"Tigriopus californicus","Tigriopus","californicus","Arthropoda","Maxillopoda","Harpacticoida","Harpacticidae","Nikki","Pereira_et_al_2017","intratherm_team","Tigriopus californicus_48.83_-125.15",20,48.83,-125.15,"","Tigriopus","californicus","Pacific Rim, British Columbia, Canada",28,34.276,"tmax",0.11807,"SE",NA,"lethal","50percent_survival",NA,NA,"1h","held",NA,NA,"Adult",NA,NA,NA,"Marine",NA,NA,NA,"20","20 days (https://scholarsbank.uoregon.edu/xmlui/bitstream/handle/1794/8950/Vittor.pdf;sequence=1)","unk",NA,NA,"unk",NA,NA,0.14,"1400 microm (https://www.jstor.org/stable/20105864)",NA,NA,NA,NA,NA,"none","none mentioned in life history","non-migratory","intertidal",NA,NA,NA,"Nikki","unk",NA,NA,"130 days average",NA,NA,NA,"N",NA,NA,NA,NA,"","",NA,NA,NA,0.2013,0.111582839182376,1.80404084960578,0.212993988841508,-0.278802207601247,0.681402207601246
2947,"Tigriopus californicus","Tigriopus","californicus","Arthropoda","Maxillopoda","Harpacticoida","Harpacticidae","Nikki","Pereira_et_al_2017","intratherm_team","Tigriopus californicus_50.58_-128.23",20,50.58,-128.23,"","Tigriopus","californicus","Raft Cove, British Columbia, Canada",28,33.813,"tmax",0.097387,"SE",NA,"lethal","50percent_survival",NA,NA,"1h","held",NA,NA,"Adult",NA,NA,NA,"Marine",NA,NA,NA,"20","20 days (https://scholarsbank.uoregon.edu/xmlui/bitstream/handle/1794/8950/Vittor.pdf;sequence=1)","unk",NA,NA,"unk",NA,NA,0.14,"1400 microm (https://www.jstor.org/stable/20105864)",NA,NA,NA,NA,NA,"none","none mentioned in life history","non-migratory","intertidal",NA,NA,NA,"Nikki","unk",NA,NA,"130 days average",NA,NA,NA,"N",NA,NA,NA,NA,"","",NA,NA,NA,0.168699999999999,0.169017661798996,0.998120540802564,0.423373815080779,-0.558524303915324,0.895924303915323
6,"Acipenser brevirostrum","Acipenser","brevirostrum","Chordata","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Ziegeweid et al. 2008","Comte","Acipenser brevirostrum_32.89_-84.67",19.5,32.89,-84.67,"","Acipenser","brevirostrum","Warm Springs Georgia US",7,34.8,"tmax",0.57,"SD",32,"lethal","death","0.1",NA,NA,NA,NA,NA,"Juvenile",NA,NA,NA,"Freshwater","7","days",NA,"1460","4-6 years (IUCN Red List)","730","2-3 years (IUCN Red List)",NA,"10-100","GENETIC: suggests less dispersal than marine+ but more than freshwater or estuarine species with PLD - estimate based on that of 10-100+ intermediate group (https://doi.org/10.1023/A:1015275602748) MIGRATION: up to 200km moved to spawn (NatureServe Explorer)",NA,143,"TL male/unsexed -fishbase","50","TL male/unsexed -fishbase","50","TL male/unsexed -fishbase","Y","none","""may be inactive in winter"" but not dormant (NatureServe Explorer)","migratory","IUCN Red List","Spring-Fall","Spring-Fall","DISTANCE: up to 200km moved to spawn (IUCN Redlist) TIMING: spring and fall+ in spring spent individuals migrate downstream+ passing the rest of the population moving upstream (NatureServe Explorer) POPULATION SPECIFIC: see details on IUCN and NatureServe Explorer","Nikki","3.14-314.16","2-20km home range length depending on season+ used as diameter of circle (https://doi.org/10.1111/j.1439-0426.2009.01224.x)",24455,"32-67 years max (IUCN)",NA,NA,NA,"N",0.208,0.792,NA,NA,"","",NA,NA,NA,0.293478260869565,0.161587703775201,1.81621654379005,0.210984896547814,-0.401777513872749,0.98873403561188
366,"Carassius carassius","Carassius","carassius","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Horoszewicz 1973","Comte","Carassius carassius_52.34_18.35",34.6,52.34,18.35,"","Carassius","carassius","Lichenskie Lake Poland",NA,38.3,"tmax",0.1,"SD",13,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,NA,NA,"Freshwater",NA,"days",NA,"547.5","1.5-6 years across various populations (Tarkan+ A. S.+ Almeida+ D.+ Godard+ M. J.+ Gaygusuz+ Ã–.+ Rylands+ M.+ Sayer+ C. D.+ ... & Copp+ G. H. (2016). A review and metaâ€êanalysis of growth and lifeâ€êhistory traits of a declining European freshwater fish+ crucian carp Carassius carassius. Aquatic Conservation: Marine and Freshwater Ecosystems+ 26(1)+ 212-224.)","547.5","1.5-5 years across various populations (Tarkan+ A. S.+ Almeida+ D.+ Godard+ M. J.+ Gaygusuz+ Ã–.+ Rylands+ M.+ Sayer+ C. D.+ ... & Copp+ G. H. (2016). A review and metaâ€êanalysis of growth and lifeâ€êhistory traits of a declining European freshwater fish+ crucian carp Carassius carassius. Aquatic Conservation: Marine and Freshwater Ecosystems+ 26(1)+ 212-224.)",NA,"unk","low dispersal (doi: 10.1111/mec.13613)",NA,64,"TL male/unsexed -fishbase","15","TL male/unsexed -fishbase","15","TL male/unsexed -fishbase","Y","Summer and Winter","burrow in mud in the dry season or during winter+ fishbase","non-migratory","Fishbase",NA,NA,"anadromous according to (MÃ_ller+ K.+ & Berg+ E. (1982). Spring migration of some anadromous freshwater fish species in the northern Bothnian Sea. Hydrobiologia+ 96(2)+ 161-168.) but no other accounts/information reported+ fishbase calls potamodromous","Nikki","unk",NA,3650,"10 years maximum - fishbase","try to find more specific dormancy season",NA,NA,"N",NA,NA,0.458,0.625,"0.875","0.125",NA,NA,NA,0.285714285714291,NA,NA,NA,NA,NA
408,"Catostomus commersonii","Catostomus","commersonii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Yoder et al. 2012","Comte","Catostomus commersonii_54.61_-124.91",28,54.61,-124.91,"","Catostomus","commersonii","British Columbia Canada",NA,40.6,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile",NA,NA,NA,"Freshwater",NA,"days",NA,"1095","average 3 years (http://animaldiversity.org/accounts/Catostomus_commersoni/)","730","average 2 years (http://animaldiversity.org/accounts/Catostomus_commersoni/)",NA,"10-100","MOVEMENT: low site fidelity after spawning+ one dispersed 56km after spawning (https://animaldiversity.org/accounts/Catostomus_commersonii/) GENETIC: relatively small differences among sites separated by 100+ km - authors suggest that white sucker are mobile (https://doi.org/10.1897/02-181) MIGRATION: migrate dozens of km between spawning and adult habitat - NatureServe Explorer",NA,65,"TL male/unsexed -fishbase","40.7","TL male/unsexed -fishbase","40.7","TL male/unsexed -fishbase","Y","none","no dormancy reported","migratory","IUCN Red List","Spring-Summer",NA,"DISTANCE: dozens of km (NatureServe Explorer) TIMING: 6 weeks in spring/early summer in North (http://animaldiversity.org/accounts/Catostomus_commersoni/)","Azenor/Nikki","unk",NA,6205,"maximum of 17 years http://animaldiversity.org/accounts/Catostomus_commersoni/",NA,NA,NA,"N",NA,NA,NA,NA,"","",10.737829432971,11.2086297455808,10.7696501246819,0.720000000000001,NA,NA,NA,NA,NA
472,"Coregonus clupeaformis","Coregonus","clupeaformis","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Edsall & Rottiers 1976","Comte","Coregonus clupeaformis_45.05_-82.5",5,45.05,-82.5,"","Coregonus","clupeaformis","Lake Huron",24,20.62,"tmax",NA,"SD",89,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile",NA,NA,NA,"Freshwater","24","days",NA,"365","1-7 years depending on location (NatureServe Explorer)","365","1-7 years depending on location (NatureServe Explorer)","Y","10-100","MOVEMENT: studies found high site fidelity+ tagged fish consistently returned to spawning areas even in overlapping populations+ non-mixing populations within 20km of one another (https://doi.org/10.1577/1548-8659(1985)5<435:PSYEAM>2.0.CO;2) MIGRATION: adults can travel 242km but 40km more typical (https://animaldiversity.org/accounts/Coregonus_clupeaformis/)  OTHER: study of a population supports 10-100km dispersal (Rennie+ M. D.+ Ebener+ M. P.+ & Wagner+ T. (2012). Can migration mitigate the effects of ecosystem change? Patterns of dispersal+ energy acquisition and allocation in Great Lakes lake whitefish (Coregonus clupeaformis). Advances in Limnology+ 63(429)+ 455-476.)",NA,100,"TL male/unsexed -fishbase","54.1","TL male/unsexed -fishbase","54.1","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","NatureServe Explorer",NA,NA,NA,"Nikki","32.55","96% recaptured within 25 miles (https://doi.org/10.1577/1548-8659(1939)69[63:TEWLTW]2.0.CO;2)+ most recaptured within 20km in another population (Rennie+ M. D.+ Ebener+ M. P.+ & Wagner+ T. (2012). Can migration mitigate the effects of ecosystem change? Patterns of dispersal+ energy acquisition and allocation in Great Lakes lake whitefish (Coregonus clupeaformis). Advances in Limnology+ 63(429)+ 455-476.)",18250,"50 years max but 25 max more typical (https://animaldiversity.org/accounts/Coregonus_clupeaformis/)",NA,NA,NA,"N",NA,NA,NA,NA,"","",NA,NA,NA,0.364414634146341,0.053830277636313,6.76969635208631,0.00658655229057924,0.193102665970261,0.535726602322421
477,"Coregonus clupeaformis","Coregonus","clupeaformis","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Yoder et al. 2012","Comte","Coregonus clupeaformis_45.29_-82.12",5,45.29,-82.12,"","Coregonus","clupeaformis","Lake Huron",NA,20.6,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile",NA,NA,NA,"Freshwater",NA,"days",NA,"365","1-7 years depending on location (NatureServe Explorer)","365","1-7 years depending on location (NatureServe Explorer)","Y","10-100","MOVEMENT: studies found high site fidelity+ tagged fish consistently returned to spawning areas even in overlapping populations+ non-mixing populations within 20km of one another (https://doi.org/10.1577/1548-8659(1985)5<435:PSYEAM>2.0.CO;2) MIGRATION: adults can travel 242km but 40km more typical (https://animaldiversity.org/accounts/Coregonus_clupeaformis/)  OTHER: study of a population supports 10-100km dispersal (Rennie+ M. D.+ Ebener+ M. P.+ & Wagner+ T. (2012). Can migration mitigate the effects of ecosystem change? Patterns of dispersal+ energy acquisition and allocation in Great Lakes lake whitefish (Coregonus clupeaformis). Advances in Limnology+ 63(429)+ 455-476.)",NA,100,"TL male/unsexed -fishbase","54.1","TL male/unsexed -fishbase","54.1","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","NatureServe Explorer",NA,NA,NA,"Nikki","32.55","96% recaptured within 25 miles (https://doi.org/10.1577/1548-8659(1939)69[63:TEWLTW]2.0.CO;2)+ most recaptured within 20km in another population (Rennie+ M. D.+ Ebener+ M. P.+ & Wagner+ T. (2012). Can migration mitigate the effects of ecosystem change? Patterns of dispersal+ energy acquisition and allocation in Great Lakes lake whitefish (Coregonus clupeaformis). Advances in Limnology+ 63(429)+ 455-476.)",18250,"50 years max but 25 max more typical (https://animaldiversity.org/accounts/Coregonus_clupeaformis/)",NA,NA,NA,"N",NA,NA,NA,NA,"","",NA,NA,NA,0.28558246828143,0.0253372550045209,11.2712473482417,0.00149755580264103,0.204948014706262,0.366216921856599
681,"Cyprinus carpio","Cyprinus","carpio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Horoszewicz 1973","Comte","Cyprinus carpio_48.96_16.55",26.7,48.96,16.55,"","Cyprinus","carpio","Pohofelice Czech Republic",NA,40.2,"tmax",0.28,"SD",10,"lethal","death","0.09",NA,NA,NA,NA,NA,"Juvenile",NA,NA,NA,"Freshwater",NA,"days",NA,"1460","4-6 years (IUCN Red List)","1095","3-5 years (IUCN Red List)",NA,"10-100","MOVEMENT:  85% recaptured were within 20 km of their release location+ 7% moved 100+km+ 890 km maximum distance moved (https://doi.org/10.1111/j.1365-2400.2006.00495.x) LARVAE: adhesive eggs and larvae inhabit backwater ",NA,120,"TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","not seasonal https://doi.org/10.1111/j.1365-2400.2006.00495.x",NA,NA,"figure 2 shows no seasonal migration pattern (https://doi.org/10.1111/j.1365-2400.2006.00495.x)+ therefore not considered migration by our def.","Nikki","78.54","80% stayed within 5 km of release - used as radius (https://doi.org/10.1111/j.1365-2400.2006.00495.x)",13870,"17-20 years typical+ 38 years max (fishbase + NatureServe Explorer)",NA,NA,NA,"N",NA,NA,NA,NA,"","",9.20695942412157,9.56851009861667,9.24476057444786,-0.0454545454545367,0.472377492973327,-0.0962250448649198,0.93892926061496,-6.04757968393455,5.95667059302548
685,"Cyprinus carpio","Cyprinus","carpio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Golovanov & Smirnov 2007","Comte","Cyprinus carpio_55.71_37.57",5,55.71,37.57,"","Cyprinus","carpio","Institute of Biology of Inland Water Russia",10,30.4,"tmax",1.04,"SD",12,"critical","LOE","0.066",NA,NA,NA,NA,NA,"Juvenile",NA,NA,NA,"Freshwater","10","days",NA,"1460","4-6 years (IUCN Red List)","1095","3-5 years (IUCN Red List)",NA,"10-100","MOVEMENT:  85% recaptured were within 20 km of their release location+ 7% moved 100+km+ 890 km maximum distance moved (https://doi.org/10.1111/j.1365-2400.2006.00495.x) LARVAE: adhesive eggs and larvae inhabit backwater ",NA,120,"TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","not seasonal https://doi.org/10.1111/j.1365-2400.2006.00495.x",NA,NA,"figure 2 shows no seasonal migration pattern (https://doi.org/10.1111/j.1365-2400.2006.00495.x)+ therefore not considered migration by our def.","Nikki","78.54","80% stayed within 5 km of release - used as radius (https://doi.org/10.1111/j.1365-2400.2006.00495.x)",13870,"17-20 years typical+ 38 years max (fishbase + NatureServe Explorer)",NA,NA,NA,"N",NA,NA,NA,NA,"","",11.6370664280789,11.9643958031717,11.6318203347129,0.42492505353319,0.106696703689769,3.98255090212253,0.000873112106655312,0.200763597130287,0.649086509936094
