"intratherm_id","genus_species","genus","species","phylum","class","order","family","extractor","ref","original_compilation","population_id","acclim_temp","latitude","longitude","coordinates_source","genus_from_study","species_from_study","location_description","acclim_time","parameter_value","parameter_tmax_or_tmin","error_estimate","error_type","sample_size","metric_type","metric_description","ramping_rate","ramping_to_reach_st","duration_of_chronic_exposure","temp_before_pretreament_held_or_ff_for_field_fresh","timing_of_collection","elevation_of_collection","life_stage.x","notes.x","record_number","record","realm_general2","acclim_time_original","acclim_time_units","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering","age_maturity_days_female","age_maturity_days_female_reference","age_maturity_days_male","age_maturity_days_male_reference","age_maturity.days_unknown_sex","dispersal_distance_category","logic_source_for_dispersal_distance","logic_source_for_dispersal_distance2","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","average_body_size_female","average_body_size_female_reference","average_body_size_male","average_body_size_male_reference","average_body_size_unknown_sex","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km","season_when_away_100km","logic_source_season_when_away","data_gatherer","Home.range.size_Km2","logic.source_for_Home.range.size","lifespan_days","lifespan_days_reference","Notes","is_in_south","season_when_away_100km_start","season_when_away_100km_stop","season_inactive_start","season_inactive_stop","season_inactive_start2","season_inactive_stop2","experienced_var_mean","experienced_var_max","ARR","std.error","statistic","p.value","conf.low","conf.high"
1498,"Lithobates pipiens","Lithobates","pipiens","Chordata","Amphibia","Anura","Ranidae",NA,"Mahoney, J. J., and V. H. Hutchison. 1969. Photoperiod acclimation and 24-hour variations in the critical thermal maxima of a tropical and a temperate frog. Oecologia 2:143-161.","Rohr","Lithobates pipiens_43.6805335_-90.082397",25,43.6805335,-90.082397,"","Rana","pipiens","Supplier",7,39.4,"tmax",NA,NA,111,"critical","Onset of spasms","1",NA,NA,NA,NA,NA,"Adult",NA,NA,NA,"Terrestrial","7","days",NA,"365","1-2 years (amphibio)","365","1-2 years (amphibio)","Y","0-1","mean total distance moved was 134.3m",NA,16.5,"SVL - amphibio",NA,NA,NA,NA,NA,"Winter","hibernates in mud of ponds+ streams+ lakes+ or marshes usually near underwater trees or rocks (http://www.aquatic.uoguelph.ca/amphibians/amphib/accounts/ranidae/leopard/account.htm)","non-migratory","taxa",NA,NA,NA,"Micky/Nikki","0.000348-0.001347","mean home range from 348-1347m^2 (http://www.herpconbio.org/Volume_4/Issue_2/Blomquist_Hunter_2009.pdf) 500m2 (http://www.aquatic.uoguelph.ca/amphibians/amphib/accounts/ranidae/leopard/account.htm)",3285,"6-9 years (http://www.aquatic.uoguelph.ca/amphibians/amphib/accounts/ranidae/leopard/account.htm) 9 years max (amphibio)",NA,"N",NA,NA,0.875,0.125,"","",8.33561053488585,9.07252681640731,0.0992857142857146,0.0659619427485006,1.50519693854789,0.15813320118452,-0.0444330128444938,0.243004441415923
1514,"Lithobates pipiens","Lithobates","pipiens","Chordata","Amphibia","Anura","Ranidae","Nikki","Brattstrom_1968","Rohr","Lithobates pipiens_45_-89.646",5,45,-89.646,"","Rana","pipiens","Wisconsin, USA",17.5,31.4,"tmax",NA,NA,100,"critical","Loss of righting response","1",NA,NA,NA,"Summer",304.8,"Adult",NA,NA,NA,"Terrestrial","2-3w","weeks",NA,"365","1-2 years (amphibio)","365","1-2 years (amphibio)","Y","0-1","mean total distance moved was 134.3m",NA,16.5,"SVL - amphibio",NA,NA,NA,NA,NA,"Winter","hibernates in mud of ponds+ streams+ lakes+ or marshes usually near underwater trees or rocks (http://www.aquatic.uoguelph.ca/amphibians/amphib/accounts/ranidae/leopard/account.htm)","non-migratory","taxa",NA,NA,NA,"Micky/Nikki","0.000348-0.001347","mean home range from 348-1347m^2 (http://www.herpconbio.org/Volume_4/Issue_2/Blomquist_Hunter_2009.pdf) 500m2 (http://www.aquatic.uoguelph.ca/amphibians/amphib/accounts/ranidae/leopard/account.htm)",3285,"6-9 years (http://www.aquatic.uoguelph.ca/amphibians/amphib/accounts/ranidae/leopard/account.htm) 9 years max (amphibio)",NA,"N",NA,NA,0.875,0.125,"","",8.49621052698797,9.2683432775375,0.164629258517033,0.0182229794383499,9.03415706931954,0.0701823816882467,-0.0669156491297422,0.396174166163809
1515,"Lithobates pipiens","Lithobates","pipiens","Chordata","Amphibia","Anura","Ranidae","Nikki","Brattstrom_1968","Rohr","Lithobates pipiens_45_-89.646",23,45,-89.646,"","Rana","pipiens","Wisconsin, USA",17.5,34.7,"tmax",NA,NA,100,"critical","Loss of righting response","1",NA,NA,NA,"Summer",304.8,"Adult",NA,NA,NA,"Terrestrial","2-3w","weeks",NA,"365","1-2 years (amphibio)","365","1-2 years (amphibio)","Y","0-1","mean total distance moved was 134.3m",NA,16.5,"SVL - amphibio",NA,NA,NA,NA,NA,"Winter","hibernates in mud of ponds+ streams+ lakes+ or marshes usually near underwater trees or rocks (http://www.aquatic.uoguelph.ca/amphibians/amphib/accounts/ranidae/leopard/account.htm)","non-migratory","taxa",NA,NA,NA,"Micky/Nikki","0.000348-0.001347","mean home range from 348-1347m^2 (http://www.herpconbio.org/Volume_4/Issue_2/Blomquist_Hunter_2009.pdf) 500m2 (http://www.aquatic.uoguelph.ca/amphibians/amphib/accounts/ranidae/leopard/account.htm)",3285,"6-9 years (http://www.aquatic.uoguelph.ca/amphibians/amphib/accounts/ranidae/leopard/account.htm) 9 years max (amphibio)",NA,"N",NA,NA,0.875,0.125,"","",8.49621052698797,9.2683432775375,0.164629258517033,0.0182229794383499,9.03415706931954,0.0701823816882467,-0.0669156491297422,0.396174166163809
1516,"Lithobates pipiens","Lithobates","pipiens","Chordata","Amphibia","Anura","Ranidae","Nikki","Brattstrom_1968","Rohr","Lithobates pipiens_45_-89.646",30,45,-89.646,"","Rana","pipiens","Wisconsin, USA",17.5,35.4,"tmax",NA,NA,100,"critical","Loss of righting response","1",NA,NA,NA,"Summer",304.8,"Adult",NA,NA,NA,"Terrestrial","2-3w","weeks",NA,"365","1-2 years (amphibio)","365","1-2 years (amphibio)","Y","0-1","mean total distance moved was 134.3m",NA,16.5,"SVL - amphibio",NA,NA,NA,NA,NA,"Winter","hibernates in mud of ponds+ streams+ lakes+ or marshes usually near underwater trees or rocks (http://www.aquatic.uoguelph.ca/amphibians/amphib/accounts/ranidae/leopard/account.htm)","non-migratory","taxa",NA,NA,NA,"Micky/Nikki","0.000348-0.001347","mean home range from 348-1347m^2 (http://www.herpconbio.org/Volume_4/Issue_2/Blomquist_Hunter_2009.pdf) 500m2 (http://www.aquatic.uoguelph.ca/amphibians/amphib/accounts/ranidae/leopard/account.htm)",3285,"6-9 years (http://www.aquatic.uoguelph.ca/amphibians/amphib/accounts/ranidae/leopard/account.htm) 9 years max (amphibio)",NA,"N",NA,NA,0.875,0.125,"","",8.49621052698797,9.2683432775375,0.164629258517033,0.0182229794383499,9.03415706931954,0.0701823816882467,-0.0669156491297422,0.396174166163809
1540,"Lithobates sylvaticus","Lithobates","sylvaticus","Chordata","Amphibia","Anura","Ranidae","FL","Manis_&_Claussen_1986","intratherm_team","Lithobates sylvaticus_37.56_-84.3",15,37.56,-84.3,"extracted","Lithobates","sylvaticus","Kentucky, USA",10,36.8,"tmax",0.7,"SD",15,"critical","onset_of_rigor","0.75",NA,NA,NA,NA,326,"Adult",NA,NA,NA,"Terrestrial","10d","days",NA,"365","1-2.7 years (amphibio)","365","1-2.7 years (amphibio)","Y","0-1","cannot disperse more than 2km - ""Although the migration distance of any individual adult frog+ or dispersal of juvenile frogs+ in a single event would not likely cover the smallest pairwise distance between ponds in this study (1.9 km)"" (https://doi.org/10.1007/s10592-015-0757-6)",NA,8.3,"SVL - amphibio+ 6 from (Prairie Research Institute. Lithobates sylvaticus. Illinois Natural History Survey+ available at : [http://wwx.inhs.illinois.edu/collections/herps/data/ilspecies/ra_sylvati/]\",NA,NA,NA,NA,NA,"Winter","frogs seek out terrestrial locations with ample cover to hibernate (https://animaldiversity.org/accounts/Lithobates_sylvaticus/)","non-migratory","taxa",NA,NA,NA,"Micky/Nikki","0.0000836","83.6m2 (https://animaldiversity.org/accounts/Lithobates_sylvaticus/)",1898,"5.2 years max (amphibio)",NA,"N",NA,NA,0.875,0.125,"","",6.67933304713949,7.34423925411402,0.626666666666667,0.638934297903186,0.980799854888402,0.364568818634234,-0.936749238975628,2.19008257230896
1541,"Lithobates sylvaticus","Lithobates","sylvaticus","Chordata","Amphibia","Anura","Ranidae","FL","Manis_&_Claussen_1986","intratherm_team","Lithobates sylvaticus_37.56_-84.3",15,37.56,-84.3,"extracted","Lithobates","sylvaticus","Kentucky, USA",10,36.4,"tmax",0.7,"SD",15,"critical","onset_of_spasm","0.75",NA,NA,NA,NA,326,"Adult",NA,NA,NA,"Terrestrial","10d","days",NA,"365","1-2.7 years (amphibio)","365","1-2.7 years (amphibio)","Y","0-1","cannot disperse more than 2km - ""Although the migration distance of any individual adult frog+ or dispersal of juvenile frogs+ in a single event would not likely cover the smallest pairwise distance between ponds in this study (1.9 km)"" (https://doi.org/10.1007/s10592-015-0757-6)",NA,8.3,"SVL - amphibio+ 6 from (Prairie Research Institute. Lithobates sylvaticus. Illinois Natural History Survey+ available at : [http://wwx.inhs.illinois.edu/collections/herps/data/ilspecies/ra_sylvati/]\",NA,NA,NA,NA,NA,"Winter","frogs seek out terrestrial locations with ample cover to hibernate (https://animaldiversity.org/accounts/Lithobates_sylvaticus/)","non-migratory","taxa",NA,NA,NA,"Micky/Nikki","0.0000836","83.6m2 (https://animaldiversity.org/accounts/Lithobates_sylvaticus/)",1898,"5.2 years max (amphibio)",NA,"N",NA,NA,0.875,0.125,"","",6.67933304713949,7.34423925411402,0.626666666666667,0.638934297903186,0.980799854888402,0.364568818634234,-0.936749238975628,2.19008257230896
1542,"Lithobates sylvaticus","Lithobates","sylvaticus","Chordata","Amphibia","Anura","Ranidae","FL","Manis_&_Claussen_1986","intratherm_team","Lithobates sylvaticus_37.56_-84.3",15,37.56,-84.3,"extracted","Lithobates","sylvaticus","Kentucky, USA",10,34.5,"tmax",0.7,"SD",20,"critical","righting_ability","0.75",NA,NA,NA,NA,326,"Adult",NA,NA,NA,"Terrestrial","10d","days",NA,"365","1-2.7 years (amphibio)","365","1-2.7 years (amphibio)","Y","0-1","cannot disperse more than 2km - ""Although the migration distance of any individual adult frog+ or dispersal of juvenile frogs+ in a single event would not likely cover the smallest pairwise distance between ponds in this study (1.9 km)"" (https://doi.org/10.1007/s10592-015-0757-6)",NA,8.3,"SVL - amphibio+ 6 from (Prairie Research Institute. Lithobates sylvaticus. Illinois Natural History Survey+ available at : [http://wwx.inhs.illinois.edu/collections/herps/data/ilspecies/ra_sylvati/]\",NA,NA,NA,NA,NA,"Winter","frogs seek out terrestrial locations with ample cover to hibernate (https://animaldiversity.org/accounts/Lithobates_sylvaticus/)","non-migratory","taxa",NA,NA,NA,"Micky/Nikki","0.0000836","83.6m2 (https://animaldiversity.org/accounts/Lithobates_sylvaticus/)",1898,"5.2 years max (amphibio)",NA,"N",NA,NA,0.875,0.125,"","",6.67933304713949,7.34423925411402,0.626666666666667,0.638934297903186,0.980799854888402,0.364568818634234,-0.936749238975628,2.19008257230896
1549,"Lithobates sylvaticus","Lithobates","sylvaticus","Chordata","Amphibia","Anura","Ranidae","FL","Manis_&_Claussen_1986","intratherm_team","Lithobates sylvaticus_38.2_-76.85",15,38.2,-76.85,"extracted","Lithobates","sylvaticus","Maryland, USA",10,36.5,"tmax",0.7,"SD",10,"critical","onset_of_rigor","0.75",NA,NA,NA,NA,43,"Adult",NA,NA,NA,"Terrestrial","10d","days",NA,"365","1-2.7 years (amphibio)","365","1-2.7 years (amphibio)","Y","0-1","cannot disperse more than 2km - ""Although the migration distance of any individual adult frog+ or dispersal of juvenile frogs+ in a single event would not likely cover the smallest pairwise distance between ponds in this study (1.9 km)"" (https://doi.org/10.1007/s10592-015-0757-6)",NA,8.3,"SVL - amphibio+ 6 from (Prairie Research Institute. Lithobates sylvaticus. Illinois Natural History Survey+ available at : [http://wwx.inhs.illinois.edu/collections/herps/data/ilspecies/ra_sylvati/]\",NA,NA,NA,NA,NA,"Winter","frogs seek out terrestrial locations with ample cover to hibernate (https://animaldiversity.org/accounts/Lithobates_sylvaticus/)","non-migratory","taxa",NA,NA,NA,"Micky/Nikki","0.0000836","83.6m2 (https://animaldiversity.org/accounts/Lithobates_sylvaticus/)",1898,"5.2 years max (amphibio)",NA,"N",NA,NA,0.875,0.125,"","",6.78999441682585,7.44631048366148,NA,NA,NA,NA,NA,NA
1687,"Luxilus cornutus","Luxilus","cornutus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Yoder et al. 2012","Comte","Luxilus cornutus_40.79_-73.91",3.02,40.79,-73.91,"","Luxilus","cornutus","New York US",NA,30.6,"tmax",NA,"SD",NA,"lethal",NA,NA,NA,NA,NA,NA,NA,"Adult",NA,NA,NA,"Freshwater",NA,"days",NA,"730","2 years (Wichert+ G. A.+ & Rapport+ D. J. (1998). Fish community structure as a measure of degradation and rehabilitation of riparian systems in an agricultural drainage basin. Environmental Management+ 22(3)+ 425-443.)","730","2 years (Wichert+ G. A.+ & Rapport+ D. J. (1998). Fish community structure as a measure of degradation and rehabilitation of riparian systems in an agricultural drainage basin. Environmental Management+ 22(3)+ 425-443.)","Y","unk","estimate since highly related to and hybridizes with Luxilus chrysocephalus",NA,18,"TL male/unsexed -fishbase","8.3","TL male/unsexed -fishbase","8.3","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","unk",NA,2190,"6 years maximum (fishbase)",NA,"N",NA,NA,NA,NA,"","",9.53856495404852,9.79090255391478,0.0902151283830675,NA,NA,NA,NA,NA
1688,"Luxilus cornutus","Luxilus","cornutus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Yoder et al. 2012","Comte","Luxilus cornutus_40.79_-73.91",17.43,40.79,-73.91,"","Luxilus","cornutus","New York US",NA,31.9,"tmax",NA,"SD",NA,"lethal",NA,NA,NA,NA,NA,NA,NA,"Adult",NA,NA,NA,"Freshwater",NA,"days",NA,"730","2 years (Wichert+ G. A.+ & Rapport+ D. J. (1998). Fish community structure as a measure of degradation and rehabilitation of riparian systems in an agricultural drainage basin. Environmental Management+ 22(3)+ 425-443.)","730","2 years (Wichert+ G. A.+ & Rapport+ D. J. (1998). Fish community structure as a measure of degradation and rehabilitation of riparian systems in an agricultural drainage basin. Environmental Management+ 22(3)+ 425-443.)","Y","unk","estimate since highly related to and hybridizes with Luxilus chrysocephalus",NA,18,"TL male/unsexed -fishbase","8.3","TL male/unsexed -fishbase","8.3","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","unk",NA,2190,"6 years maximum (fishbase)",NA,"N",NA,NA,NA,NA,"","",9.53856495404852,9.79090255391478,0.0902151283830675,NA,NA,NA,NA,NA
1694,"Luxilus cornutus","Luxilus","cornutus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Yoder et al. 2012","Comte","Luxilus cornutus_43.64_-79.49",5,43.64,-79.49,"","Luxilus","cornutus","Toronto Ontario Canada",NA,26.7,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,"Adult",NA,NA,NA,"Freshwater",NA,"days",NA,"730","2 years (Wichert+ G. A.+ & Rapport+ D. J. (1998). Fish community structure as a measure of degradation and rehabilitation of riparian systems in an agricultural drainage basin. Environmental Management+ 22(3)+ 425-443.)","730","2 years (Wichert+ G. A.+ & Rapport+ D. J. (1998). Fish community structure as a measure of degradation and rehabilitation of riparian systems in an agricultural drainage basin. Environmental Management+ 22(3)+ 425-443.)","Y","unk","estimate since highly related to and hybridizes with Luxilus chrysocephalus",NA,18,"TL male/unsexed -fishbase","8.3","TL male/unsexed -fishbase","8.3","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","unk",NA,2190,"6 years maximum (fishbase)",NA,"N",NA,NA,NA,NA,"","",8.73158424630555,9.15827567253306,0.36,0.00577350269189629,62.3538290724792,3.96236455177205e-07,0.343970186711238,0.376029813288762
1695,"Luxilus cornutus","Luxilus","cornutus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Yoder et al. 2012","Comte","Luxilus cornutus_43.64_-79.49",10,43.64,-79.49,"","Luxilus","cornutus","Toronto Ontario Canada",NA,28.6,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,"Adult",NA,NA,NA,"Freshwater",NA,"days",NA,"730","2 years (Wichert+ G. A.+ & Rapport+ D. J. (1998). Fish community structure as a measure of degradation and rehabilitation of riparian systems in an agricultural drainage basin. Environmental Management+ 22(3)+ 425-443.)","730","2 years (Wichert+ G. A.+ & Rapport+ D. J. (1998). Fish community structure as a measure of degradation and rehabilitation of riparian systems in an agricultural drainage basin. Environmental Management+ 22(3)+ 425-443.)","Y","unk","estimate since highly related to and hybridizes with Luxilus chrysocephalus",NA,18,"TL male/unsexed -fishbase","8.3","TL male/unsexed -fishbase","8.3","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","unk",NA,2190,"6 years maximum (fishbase)",NA,"N",NA,NA,NA,NA,"","",8.73158424630555,9.15827567253306,0.36,0.00577350269189629,62.3538290724792,3.96236455177205e-07,0.343970186711238,0.376029813288762
1696,"Luxilus cornutus","Luxilus","cornutus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Yoder et al. 2012","Comte","Luxilus cornutus_43.64_-79.49",15,43.64,-79.49,"","Luxilus","cornutus","Toronto Ontario Canada",NA,30.3,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,"Adult",NA,NA,NA,"Freshwater",NA,"days",NA,"730","2 years (Wichert+ G. A.+ & Rapport+ D. J. (1998). Fish community structure as a measure of degradation and rehabilitation of riparian systems in an agricultural drainage basin. Environmental Management+ 22(3)+ 425-443.)","730","2 years (Wichert+ G. A.+ & Rapport+ D. J. (1998). Fish community structure as a measure of degradation and rehabilitation of riparian systems in an agricultural drainage basin. Environmental Management+ 22(3)+ 425-443.)","Y","unk","estimate since highly related to and hybridizes with Luxilus chrysocephalus",NA,18,"TL male/unsexed -fishbase","8.3","TL male/unsexed -fishbase","8.3","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","unk",NA,2190,"6 years maximum (fishbase)",NA,"N",NA,NA,NA,NA,"","",8.73158424630555,9.15827567253306,0.36,0.00577350269189629,62.3538290724792,3.96236455177205e-07,0.343970186711238,0.376029813288762
1723,"Meda fulgida","Meda","fulgida","Chordata","Teleostei","Cypriniformes","Cyprinidae","group","Carveth_et_al_2006","intratherm_team","Meda fulgida_32.874_-110.809",25,32.874,-110.809,"inferred","Meda","fulgida","centroid of Aravaipa Creek,Bonita Creek, San Pedro River, Verde River, Arizona, United States",14,34.7,"tmax",0.5,"CI",12,"critical","initial_loss_equilibium","0.3",NA,NA,"held","Summer/Spring",NA,"Adult","Specific location where individuals were collected is unclear (some taken from tanks in Argentina?)",NA,NA,"Freshwater","14","days",NA,"425","mature in second summer and born in April/May http://explorer.natureserve.org","425","mature in second summer and born in April/May http://explorer.natureserve.org","Y","10-100","LARVAL: larval drift of 45-60km in a population (http://www.nativefishlab.net/library/textpdf/18706.pdf)",NA,9.1,"TL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","http://explorer.natureserve.org","non-migratory","IUCN Red List",NA,NA,NA,"Wilco+Piero/Nikki","unk",NA,730,"1-2 years typical lifepsan http://explorer.natureserve.org",NA,"N",NA,NA,NA,NA,"","",6.91833596641722,7.93287979970533,0.48,0.164721988008078,2.91400077065887,0.0268401550545264,0.0769398153988751,0.883060184601126
1724,"Meda fulgida","Meda","fulgida","Chordata","Teleostei","Cypriniformes","Cyprinidae","group","Carveth_et_al_2006","intratherm_team","Meda fulgida_32.874_-110.809",30,32.874,-110.809,"inferred","Meda","fulgida","centroid of Aravaipa Creek,Bonita Creek, San Pedro River, Verde River, Arizona, United States",14,36.9,"tmax",0.7,"CI",12,"critical","initial_loss_equilibium","0.3",NA,NA,"held","Summer/Spring",NA,"Adult","Specific location where individuals were collected is unclear (some taken from tanks in Argentina?)",NA,NA,"Freshwater","14","days",NA,"425","mature in second summer and born in April/May http://explorer.natureserve.org","425","mature in second summer and born in April/May http://explorer.natureserve.org","Y","10-100","LARVAL: larval drift of 45-60km in a population (http://www.nativefishlab.net/library/textpdf/18706.pdf)",NA,9.1,"TL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","http://explorer.natureserve.org","non-migratory","IUCN Red List",NA,NA,NA,"Wilco+Piero/Nikki","unk",NA,730,"1-2 years typical lifepsan http://explorer.natureserve.org",NA,"N",NA,NA,NA,NA,"","",6.91833596641722,7.93287979970533,0.48,0.164721988008078,2.91400077065887,0.0268401550545264,0.0769398153988751,0.883060184601126
1725,"Meda fulgida","Meda","fulgida","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Carveth et al. 2006","Comte","Meda fulgida_32.874_-110.809",25,32.874,-110.809,"inferred","Meda","fulgida","centroid of Aravaipa Creek,Bonita Creek, San Pedro River, Verde River, Arizona, United States",14,37,"tmax",0.71,"SD",12,"lethal","death","0.3",NA,NA,"held","Summer/Spring",NA,"Adult","Specific location where individuals were collected is unclear (some taken from tanks in Argentina?)",NA,NA,"Freshwater","14","days",NA,"425","mature in second summer and born in April/May http://explorer.natureserve.org","425","mature in second summer and born in April/May http://explorer.natureserve.org","Y","10-100","LARVAL: larval drift of 45-60km in a population (http://www.nativefishlab.net/library/textpdf/18706.pdf)",NA,9.1,"TL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","http://explorer.natureserve.org","non-migratory","IUCN Red List",NA,NA,NA,"Wilco+Piero/Nikki","unk",NA,730,"1-2 years typical lifepsan http://explorer.natureserve.org",NA,"N",NA,NA,NA,NA,"","",6.91833596641722,7.93287979970533,0.48,0.164721988008078,2.91400077065887,0.0268401550545264,0.0769398153988751,0.883060184601126
1726,"Meda fulgida","Meda","fulgida","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Carveth et al. 2006","Comte","Meda fulgida_32.874_-110.809",30,32.874,-110.809,"inferred","Meda","fulgida","centroid of Aravaipa Creek,Bonita Creek, San Pedro River, Verde River, Arizona, United States",14,39.1,"tmax",0.53,"SD",12,"lethal","death","0.3",NA,NA,"held","Summer/Spring",NA,"Adult","Specific location where individuals were collected is unclear (some taken from tanks in Argentina?)",NA,NA,"Freshwater","14","days",NA,"425","mature in second summer and born in April/May http://explorer.natureserve.org","425","mature in second summer and born in April/May http://explorer.natureserve.org","Y","10-100","LARVAL: larval drift of 45-60km in a population (http://www.nativefishlab.net/library/textpdf/18706.pdf)",NA,9.1,"TL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","http://explorer.natureserve.org","non-migratory","IUCN Red List",NA,NA,NA,"Wilco+Piero/Nikki","unk",NA,730,"1-2 years typical lifepsan http://explorer.natureserve.org",NA,"N",NA,NA,NA,NA,"","",6.91833596641722,7.93287979970533,0.48,0.164721988008078,2.91400077065887,0.0268401550545264,0.0769398153988751,0.883060184601126
1727,"Meda fulgida","Meda","fulgida","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Carveth et al. 2006","Comte","Meda fulgida_32.874_-110.809",25,32.874,-110.809,"inferred","Meda","fulgida","centroid of Aravaipa Creek,Bonita Creek, San Pedro River, Verde River, Arizona, United States",14,37,"tmax",0.53,"SD",12,"critical","flaring operculum","0.3",NA,NA,"held","Summer/Spring",NA,"Adult","Specific location where individuals were collected is unclear (some taken from tanks in Argentina?)",NA,NA,"Freshwater","14","days",NA,"425","mature in second summer and born in April/May http://explorer.natureserve.org","425","mature in second summer and born in April/May http://explorer.natureserve.org","Y","10-100","LARVAL: larval drift of 45-60km in a population (http://www.nativefishlab.net/library/textpdf/18706.pdf)",NA,9.1,"TL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","http://explorer.natureserve.org","non-migratory","IUCN Red List",NA,NA,NA,"Wilco+Piero/Nikki","unk",NA,730,"1-2 years typical lifepsan http://explorer.natureserve.org",NA,"N",NA,NA,NA,NA,"","",6.91833596641722,7.93287979970533,0.48,0.164721988008078,2.91400077065887,0.0268401550545264,0.0769398153988751,0.883060184601126
1728,"Meda fulgida","Meda","fulgida","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Carveth et al. 2006","Comte","Meda fulgida_32.874_-110.809",30,32.874,-110.809,"inferred","Meda","fulgida","centroid of Aravaipa Creek,Bonita Creek, San Pedro River, Verde River, Arizona, United States",14,38.8,"tmax",0.71,"SD",12,"critical","flaring operculum","0.3",NA,NA,"held","Summer/Spring",NA,"Adult","Specific location where individuals were collected is unclear (some taken from tanks in Argentina?)",NA,NA,"Freshwater","14","days",NA,"425","mature in second summer and born in April/May http://explorer.natureserve.org","425","mature in second summer and born in April/May http://explorer.natureserve.org","Y","10-100","LARVAL: larval drift of 45-60km in a population (http://www.nativefishlab.net/library/textpdf/18706.pdf)",NA,9.1,"TL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","http://explorer.natureserve.org","non-migratory","IUCN Red List",NA,NA,NA,"Wilco+Piero/Nikki","unk",NA,730,"1-2 years typical lifepsan http://explorer.natureserve.org",NA,"N",NA,NA,NA,NA,"","",6.91833596641722,7.93287979970533,0.48,0.164721988008078,2.91400077065887,0.0268401550545264,0.0769398153988751,0.883060184601126
1729,"Meda fulgida","Meda","fulgida","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Carveth et al. 2006","Comte","Meda fulgida_32.874_-110.809",25,32.874,-110.809,"inferred","Meda","fulgida","centroid of Aravaipa Creek,Bonita Creek, San Pedro River, Verde River, Arizona, United States",14,34.7,"tmax",0.88,"SD",12,"critical","LOE","0.3",NA,NA,"held","Summer/Spring",NA,"Adult","Specific location where individuals were collected is unclear (some taken from tanks in Argentina?)",NA,NA,"Freshwater","14","days",NA,"425","mature in second summer and born in April/May http://explorer.natureserve.org","425","mature in second summer and born in April/May http://explorer.natureserve.org","Y","10-100","LARVAL: larval drift of 45-60km in a population (http://www.nativefishlab.net/library/textpdf/18706.pdf)",NA,9.1,"TL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","http://explorer.natureserve.org","non-migratory","IUCN Red List",NA,NA,NA,"Wilco+Piero/Nikki","unk",NA,730,"1-2 years typical lifepsan http://explorer.natureserve.org",NA,"N",NA,NA,NA,NA,"","",6.91833596641722,7.93287979970533,0.48,0.164721988008078,2.91400077065887,0.0268401550545264,0.0769398153988751,0.883060184601126
